Insolution manager field;Type;Example value;;Podozorg Value;Podozorg source (variable: source);Notes
id;ID!;"""2d-scan-20811-0100772""";;2d-scan-{{ extractATFromFileName(scan_filename) }};extractATFromFileName: custom method, scan_filename: scan directory;"Extract the last part of the filename (before extension) and prefix with ""2d-scan-"". E.g. 20220323_065526_20811-0100772.jpg → 2d-scan-20811-0100772"
cad_template_url_left;String;"""root.podozorg.podozorg-expertise.20314./left-20220323_065526_20811-0100772.jpg""";;{{ tenant_ref }}/left-{{ scan_filename }};tenant_ref: podozorg-{{ getAuftragByAT(extractATFromFileName(scan_filename)).P_Nummer.trim() }} from patients.csv, scan_filename: scan directory;get patient by patient_id from patients.csv
cad_template_url_right;String;"""root.podozorg.podozorg-expertise.20314./right-20220323_065526_20811-0100772.jpg""";;{{ tenant_ref }}/right-{{ scan_filename }};tenant_ref: podozorg-{{ getAuftragByAT(extractATFromFileName(scan_filename)).P_Nummer.trim() }} from patients.csv, scan_filename: scan directory;get patient by patient_id from patients.csv
date;String;"""2026-01-28T16:15:54.989Z""";;{{ extractDateFromFilename(scan_filename) }};extractDateFromFilename: custom method, scan_filename: scan directory;
device;String;"""SCANNER_2D""";;{{ EScanDevice.Scanner2d }};EScanDevice.Scanner2d: enum value static;
dicom_url_left;String;"""root.podozorg.podozorg-expertise.20314./left-20220323_065526_20811-0100772.dcm""";;{{ tenant_ref }}/left-{{ scan_filename }};tenant_ref: podozorg-{{ getAuftragByAT(extractATFromFileName(scan_filename)).P_Nummer.trim() }} from patients.csv, scan_filename: scan directory;get patient by patient_id from patients.csv
dicom_url_right;String;"""root.podozorg.podozorg-expertise.20314./right-20220323_065526_20811-0100772.dcm""";;{{ tenant_ref }}/right-{{ scan_filename }};tenant_ref: podozorg-{{ getAuftragByAT(extractATFromFileName(scan_filename)).P_Nummer.trim() }} from patients.csv, scan_filename: scan directory;get patient by patient_id from patients.csv
modality;String;"""FEETSCAN""";;{{ EScanModality.Feetscan }};EScanModality.Feetscan: enum value static;
patient_id;ID!;"""podozorg-929213794""";;podozorg-{{ getAuftragByAT(extractATFromFileName(scan_filename)).P_Nummer.trim() }};extractAT: custom method, scan_filename: scan directory, getAuftragByAT: custom method from Auftrag.ini, P_Nummer: Auftrag.ini;Extract AT from scan filename, look up P_Nummer in Auftrag.ini, then construct patient_id as podozorg-{P_Nummer}
pixels_per_inch;Float;2,54;;2,54;2.54: number static;
tenant_ref;ID!;"""root.podozorg.podozorg-expertise.20314.""";;{{ tenant_ref }};tenant_ref: tenants.csv;
tenant_ref#date;sortkey;"""root.podozorg.podozorg-expertise.20314.#2026-01-28T161554.989Z""";;{{ createSortKey(tenant_ref, date) }};createSortKey: custom method, tenant_ref: tenants.csv, date: scans.csv;
thumbnail_url_left;String;"""root.podozorg.podozorg-expertise.20314./thumbnail-left-20220323_065526_20811-0100772.jpg""";;{{ tenant_ref }}/thumbnail-left-{{ scan_filename }};tenant_ref: podozorg-{{ getAuftragByAT(extractATFromFileName(scan_filename)).P_Nummer.trim() }} from patients.csv, scan_filename: scan directory;get patient by patient_id from patients.csv
thumbnail_url_right;String;"""root.podozorg.podozorg-expertise.20314./thumbnail-right-20220323_065526_20811-0100772.jpg""";;{{ tenant_ref }}/thumbnail-right-{{ scan_filename }};tenant_ref: podozorg-{{ getAuftragByAT(extractATFromFileName(scan_filename)).P_Nummer.trim() }} from patients.csv, scan_filename: scan directory;get patient by patient_id from patients.csv
user_id;ID!;"""remco.dekker@luminis.eu""";;migration-user;migration-user: string static;A fixed migration user to indicate all records were created during data migration
