source_value;count;target_value
3D PRINT ZOLEN:;36;
taileren;9;
28-01-2026;3;
frees zolen;3;
Zolen elegant onderschuren;3;
FREESZOLEN;2;
gefreest;2;
iets taileren;2;
Let op: Frezen!;2;
>>>mag iets breder dan de classic<<;1;
11-3-2026;1;
3-D scan upload;1;
3D SCAN BIJGEVOEGD:;1;
3D scans geupload,;1;
3D scans geupload. Gefreesde zolen.;1;
carbon zolen hallux rigidus;1;
Certificeren voor Elten werkschoen biomex;1;
dikte houden tot plaats van uitsparring daarna mag alles afvloeien naar 1,5 mm bij de tenen!!!!! Als het gat maar goed is bij de grote teen;1;
eerste straal vrij laten;1;
Freeszolen;1;
freeszoln;1;
frezen zolen:;1;
Gat grote teen dek door laten lopen  rechts ZIE AFTEKENING;1;
gefreesde zolen, GOED TAILLEREN OOK DE VOORVOET GOED ONDERSCHUREN EN OOK DE ACHTERVOET TAILLEREN NIET VAN DIE DIKKE ZOLEN MAKEN AUB;1;
Gefreesde zolen.;1;
gefreesde zool;1;
gefreest zolen;1;
Geleng goed hol!!;1;
goed taileren;1;
graag even zoolplan van 2024 gebruiken;1;
Griesport nordik crost safety s3 black silver. maat 42.;1;
GRZP goed smal maken, moet in Rieker schoen met smalle basis.;1;
Herhaalpaar van 2024 let op: voorheen leer perfo deklaag nu sensation graag.;1;
HERHALING;1;
herhaling 2023 (opdracht is bij ons zoek);1;
HERHALING LAATSTE PAAR;1;
herhaling, ik stuur ook even een foto met de app;1;
HERHALING!!!!!!;1;
Hielpijn zolen gefreest;1;
ietrs taileren;1;
KLACHT: PRINTZOLEN WAREN VEEL TE DIK!;1;
let op;1;
LET OP     LET OP;1;
Let op 3mm links talonette onderschuren;1;
let op achtervoet PRO neren rechts;1;
let op GOED ONDERSCHUREN OOK DE VOORV OET....HYBRIDE (CARBON) ZOOL;1;
let op LINKS   talo 3 mm eronder!!!;1;
Let op neuroom zit in de webspace van 4&5 zie scan.;1;
Let op uitspring is ingetekend.;1;
Let op: bij de kleine teen breder laten: meer natuurvorm.;1;
LET OP: Freeszolen maken.;1;
LET OP: FREESZOOL;1;
Let op: Freeszool.;1;
LET OP: Uitsparing thv hielbeen zie aftekening op de scan!!!!;1;
Let op: Voorvoet dun;1;
losse talo erbij links 3 mm los erbij;1;
onder de hiel binnen de CV opvullen met 3 mm rosa;1;
Realux grondzoolpatroon;1;
rosa lang als bij hielpijn;1;
s.v.p. carbonzolen met verstijving MTP1;1;
Schild links toevoegen ter hoogte van CM 5 zie aantekening scan!!!!!!!;1;
steunzolen tailleren;1;
svp aan ERWIN vragen;1;
svp dun laagje rosa onder cm 1 bdz;1;
svp LOSSE talo's 5 mm;1;
svp losse TALO's 8 mm bdz;1;
TAILEREN;1;
TAILEREN MATIG;1;
taileren!!!!;1;
Talo verend EVA 3mm BDZ;1;
voorvoet zo dun mogelijk;1;
zolen opsturen naar:;1;
