source_value;count;target_value
hallux_limitus_functioneel     // hallux limitus functioneel;32;
pes_planus_bij_volwassenen     // pes planus bij volwassenen;16;
knieklachten_volwassenen     // knieklachten volwassenen;14;
mortons_neuroom     // mortons neuroom;9;
beenlengteverschil     // beenlengteverschil;8;
hallux_valgus     // hallux valgus;8;
fasciitis_plantaris_type-i     // fasciitis plantaris type-i;7;
metatarsalgie     // metatarsalgie;7;
pes_cavus     // pes cavus;7;
platvoeten_volwassenen     // platvoeten volwassenen;6;
geen_Diagnose;4;
enthesitis_fascia_plantaris_subcalcaneaal     // enthesitis fascia plantaris subcalcaneaal;3;
fat_pad_atrofie     // fat pad atrofie;3;
geen_diagnose;3;
hallux_rigidus_structureel     // hallux rigidus structureel;3;
achillestendinopathie     // achillestendinopathie;2;
fasciitis_plantaris_type-iii     // fasciitis plantaris type-iii;2;
holvoeten     // holvoeten;2;
instabiele_enkel     // instabiele enkel;2;
ledderhose     // ledderhose;2;
3d_scan     // 3d scan;1;
achilles_tendinitis     // achilles tendinitis;1;
achillespeesruptuur     // achillespeesruptuur;1;
apofysitis_calcanei     // apofysitis calcanei;1;
artrose_bovenste_spronggewricht     // artrose bovenste spronggewricht;1;
artrose_mtp-i     // artrose mtp-i;1;
artrose_voetwortel     // artrose voetwortel;1;
cuboid_luxatie     // cuboid luxatie;1;
equinovalgus     // equinovalgus;1;
Fasciitis_plantaris_type-I     // Fasciitis plantaris type-I;1;
Hallux_valgus     // Hallux valgus;1;
Instabiele_MTPs     // Instabiele MTPs;1;
likdoorns_hyperkeratosis     // likdoorns hyperkeratosis;1;
luxatie_mtp     // luxatie mtp;1;
peroneuspees_instabiliteit     // peroneuspees instabiliteit;1;
pes_planus_bij_kinderen     // pes planus bij kinderen;1;
plantaire_fasciitis_subcalcaneaal_type-i     // plantaire fasciitis subcalcaneaal type-i;1;
platvoeten_kinderen     // platvoeten kinderen;1;
sever_mb     // sever mb;1;
