source_value;count;target_value
sensation_zwart;51;
zwart_perfo;46;
Geen_Afdek;7;
Poron_Huidkleur_1_5mm_sensation_antraciet_aangep_08mm;6;
Poron_rosa_2mm_sensation_antraciet_aangep_08mm;6;
eva_grijs_swirl;4;
Poron_Huidkleur_1_5mm_sensation_zwart_aangep_08mm;4;
sportflex;4;
bruin_perfo;3;
werkdek_nettex;3;
eva_zwart;2;
Poron_Huidkleur_3mm_sensation_antraciet_aangep_08mm;2;
sensation_marine;2;
eva_blauw_zwart_swirl;1;
eva_donker_blauw;1;
eva_rood_geel_swirl;1;
eva_zwart_wit;1;
hypoallergeen_naturel_leer;1;
Leer Bruin perfo;1;
Leer Zwart perfo;1;
naturel_perfo;1;
Poron_Huidkleur_1_5mm_sensation_zwart_glad_08mm;1;
poron_velours;1;
sahara_perfo;1;
Secosol;1;
sensation_bruin;1;
sensation_panterprint;1;
Taupe perfo;1;
taupe_perfo;1;
texan_zwart;1;
vita dry aangeperforeerd zwart;1;
Zilverstip_met_verende_laag;1;
