source_value;count;target_value
BG_standaard_hard_achter_stevig_voor;29;
Sportzool_verend;23;
BB_mono;22;
KZ_Bruin;20;
PPT_Voor;13;
3DP_Medium;8;
3DP_Soft;8;
SPBL_Sport_Hard;6;
3DP_ExtraSoft;4;
HAZV_hard_achter_zacht_voor;4;
KZ_Zwart;4;
3DP_VV_SuperSoft_AV_Medium;3;
Flex_blauw;3;
3DP_Hard;2;
PPT_voor_en_achter;2;
3DP_SuperSoft;1;
3DP_VV_ExtraSoft_AV_Hard;1;
3DP_VV_Medium_AV_SuperSoft;1;
Anders, nml :;1;
BG standaard_hard achter stevig voor;1;
massief hard;1;
ZOSB_zacht onder stevig boven;1;
ZOZB_zacht_onder_zacht_boven;1;
